t	phi	omega
2.1591	1.3569	2.02998
2.1592	1.3571	2.02903
2.1593	1.3573	2.02807
2.1594	1.3575	2.02711
2.1595	1.35771	2.02615
2.1596	1.35791	2.02519
2.1597	1.35811	2.02423
2.1598	1.35831	2.02327
2.1599	1.35852	2.02231
2.16	1.35872	2.02135
2.1601	1.35892	2.0204
2.1602	1.35912	2.01944
2.1603	1.35932	2.01848
2.1604	1.35953	2.01752
2.1605	1.35973	2.01656
2.1606	1.35993	2.0156
2.1607	1.36013	2.01464
2.1608	1.36033	2.01368
2.1609	1.36053	2.01272
2.161	1.36073	2.01176
2.1611	1.36094	2.0108
2.1612	1.36114	2.00984
2.1613	1.36134	2.00888
2.1614	1.36154	2.00792
2.1615	1.36174	2.00696
2.1616	1.36194	2.006
2.1617	1.36214	2.00505
2.1618	1.36234	2.00409
2.1619	1.36254	2.00313
2.162	1.36274	2.00217
2.1621	1.36294	2.00121
2.1622	1.36314	2.00025
2.1623	1.36334	1.99929
2.1624	1.36354	1.99833
2.1625	1.36374	1.99737
2.1626	1.36394	1.99641
2.1627	1.36414	1.99545
2.1628	1.36434	1.99449
2.1629	1.36454	1.99353
2.163	1.36474	1.99257
2.1631	1.36494	1.9916
2.1632	1.36514	1.99064
2.1633	1.36534	1.98968
2.1634	1.36553	1.98872
2.1635	1.36573	1.98776
2.1636	1.36593	1.9868
2.1637	1.36613	1.98584
2.1638	1.36633	1.98488
2.1639	1.36653	1.98392
2.164	1.36673	1.98296
2.1641	1.36692	1.982
2.1642	1.36712	1.98104
2.1643	1.36732	1.98008
2.1644	1.36752	1.97912
2.1645	1.36772	1.97816
2.1646	1.36791	1.9772
2.1647	1.36811	1.97623
2.1648	1.36831	1.97527
2.1649	1.36851	1.97431
2.165	1.3687	1.97335
2.1651	1.3689	1.97239
2.1652	1.3691	1.97143
2.1653	1.36929	1.97047
2.1654	1.36949	1.96951
2.1655	1.36969	1.96855
2.1656	1.36989	1.96758
2.1657	1.37008	1.96662
2.1658	1.37028	1.96566
2.1659	1.37047	1.9647
2.166	1.37067	1.96374
2.1661	1.37087	1.96278
2.1662	1.37106	1.96182
2.1663	1.37126	1.96085
2.1664	1.37146	1.95989
2.1665	1.37165	1.95893
2.1666	1.37185	1.95797
2.1667	1.37204	1.95701
2.1668	1.37224	1.95605
2.1669	1.37243	1.95508
2.167	1.37263	1.95412
2.1671	1.37283	1.95316
2.1672	1.37302	1.9522
2.1673	1.37322	1.95124
2.1674	1.37341	1.95028
2.1675	1.37361	1.94931
2.1676	1.3738	1.94835
2.1677	1.37399	1.94739
2.1678	1.37419	1.94643
2.1679	1.37438	1.94547
2.168	1.37458	1.9445
2.1681	1.37477	1.94354
2.1682	1.37497	1.94258
2.1683	1.37516	1.94162
2.1684	1.37536	1.94065
2.1685	1.37555	1.93969
2.1686	1.37574	1.93873
2.1687	1.37594	1.93777
2.1688	1.37613	1.9368
2.1689	1.37632	1.93584
2.169	1.37652	1.93488
2.1691	1.37671	1.93392
2.1692	1.3769	1.93295
2.1693	1.3771	1.93199
2.1694	1.37729	1.93103
2.1695	1.37748	1.93007
2.1696	1.37768	1.9291
2.1697	1.37787	1.92814
2.1698	1.37806	1.92718
2.1699	1.37825	1.92621
2.17	1.37845	1.92525
2.1701	1.37864	1.92429
2.1702	1.37883	1.92333
2.1703	1.37902	1.92236
2.1704	1.37922	1.9214
2.1705	1.37941	1.92044
2.1706	1.3796	1.91947
2.1707	1.37979	1.91851
2.1708	1.37998	1.91755
2.1709	1.38018	1.91658
2.171	1.38037	1.91562
2.1711	1.38056	1.91466
2.1712	1.38075	1.91369
2.1713	1.38094	1.91273
2.1714	1.38113	1.91177
2.1715	1.38132	1.9108
2.1716	1.38151	1.90984
2.1717	1.38171	1.90888
2.1718	1.3819	1.90791
2.1719	1.38209	1.90695
2.172	1.38228	1.90599
2.1721	1.38247	1.90502
2.1722	1.38266	1.90406
2.1723	1.38285	1.9031
2.1724	1.38304	1.90213
2.1725	1.38323	1.90117
2.1726	1.38342	1.9002
2.1727	1.38361	1.89924
2.1728	1.3838	1.89828
2.1729	1.38399	1.89731
2.173	1.38418	1.89635
2.1731	1.38437	1.89538
2.1732	1.38456	1.89442
2.1733	1.38475	1.89346
2.1734	1.38494	1.89249
2.1735	1.38513	1.89153
2.1736	1.38531	1.89056
2.1737	1.3855	1.8896
2.1738	1.38569	1.88864
2.1739	1.38588	1.88767
2.174	1.38607	1.88671
2.1741	1.38626	1.88574
2.1742	1.38645	1.88478
2.1743	1.38663	1.88381
2.1744	1.38682	1.88285
2.1745	1.38701	1.88188
2.1746	1.3872	1.88092
2.1747	1.38739	1.87996
2.1748	1.38758	1.87899
2.1749	1.38776	1.87803
2.175	1.38795	1.87706
2.1751	1.38814	1.8761
2.1752	1.38833	1.87513
2.1753	1.38851	1.87417
2.1754	1.3887	1.8732
2.1755	1.38889	1.87224
2.1756	1.38907	1.87127
2.1757	1.38926	1.87031
2.1758	1.38945	1.86934
2.1759	1.38964	1.86838
2.176	1.38982	1.86741
2.1761	1.39001	1.86645
2.1762	1.3902	1.86548
2.1763	1.39038	1.86452
2.1764	1.39057	1.86355
2.1765	1.39075	1.86259
2.1766	1.39094	1.86162
2.1767	1.39113	1.86066
2.1768	1.39131	1.85969
2.1769	1.3915	1.85873
2.177	1.39168	1.85776
2.1771	1.39187	1.8568
2.1772	1.39206	1.85583
2.1773	1.39224	1.85487
2.1774	1.39243	1.8539
2.1775	1.39261	1.85293
2.1776	1.3928	1.85197
2.1777	1.39298	1.851
2.1778	1.39317	1.85004
2.1779	1.39335	1.84907
2.178	1.39354	1.84811
2.1781	1.39372	1.84714
2.1782	1.39391	1.84618
2.1783	1.39409	1.84521
2.1784	1.39428	1.84424
2.1785	1.39446	1.84328
2.1786	1.39464	1.84231
2.1787	1.39483	1.84135
2.1788	1.39501	1.84038
2.1789	1.3952	1.83941
2.179	1.39538	1.83845
2.1791	1.39556	1.83748
2.1792	1.39575	1.83652
2.1793	1.39593	1.83555
2.1794	1.39611	1.83458
2.1795	1.3963	1.83362
2.1796	1.39648	1.83265
2.1797	1.39666	1.83169
2.1798	1.39685	1.83072
2.1799	1.39703	1.82975
2.18	1.39721	1.82879
2.1801	1.3974	1.82782
2.1802	1.39758	1.82685
2.1803	1.39776	1.82589
2.1804	1.39794	1.82492
2.1805	1.39813	1.82396
2.1806	1.39831	1.82299
2.1807	1.39849	1.82202
2.1808	1.39867	1.82106
2.1809	1.39885	1.82009
2.181	1.39904	1.81912
2.1811	1.39922	1.81816
2.1812	1.3994	1.81719
2.1813	1.39958	1.81622
2.1814	1.39976	1.81526
2.1815	1.39994	1.81429
2.1816	1.40013	1.81332
2.1817	1.40031	1.81236
2.1818	1.40049	1.81139
2.1819	1.40067	1.81042
2.182	1.40085	1.80946
2.1821	1.40103	1.80849
2.1822	1.40121	1.80752
2.1823	1.40139	1.80656
2.1824	1.40157	1.80559
2.1825	1.40175	1.80462
2.1826	1.40193	1.80365
2.1827	1.40211	1.80269
2.1828	1.40229	1.80172
2.1829	1.40247	1.80075
2.183	1.40265	1.79979
2.1831	1.40283	1.79882
2.1832	1.40301	1.79785
2.1833	1.40319	1.79688
2.1834	1.40337	1.79592
2.1835	1.40355	1.79495
2.1836	1.40373	1.79398
2.1837	1.40391	1.79301
2.1838	1.40409	1.79205
2.1839	1.40427	1.79108
2.184	1.40445	1.79011
2.1841	1.40463	1.78914
2.1842	1.40481	1.78818
2.1843	1.40499	1.78721
2.1844	1.40516	1.78624
2.1845	1.40534	1.78527
2.1846	1.40552	1.78431
2.1847	1.4057	1.78334
2.1848	1.40588	1.78237
2.1849	1.40606	1.7814
2.185	1.40623	1.78044
2.1851	1.40641	1.77947
2.1852	1.40659	1.7785
2.1853	1.40677	1.77753
2.1854	1.40694	1.77656
2.1855	1.40712	1.7756
2.1856	1.4073	1.77463
2.1857	1.40748	1.77366
2.1858	1.40765	1.77269
2.1859	1.40783	1.77173
2.186	1.40801	1.77076
2.1861	1.40819	1.76979
2.1862	1.40836	1.76882
2.1863	1.40854	1.76785
2.1864	1.40872	1.76688
2.1865	1.40889	1.76592
2.1866	1.40907	1.76495
2.1867	1.40925	1.76398
2.1868	1.40942	1.76301
2.1869	1.4096	1.76204
2.187	1.40977	1.76108
2.1871	1.40995	1.76011
2.1872	1.41013	1.75914
2.1873	1.4103	1.75817
2.1874	1.41048	1.7572
2.1875	1.41065	1.75623
2.1876	1.41083	1.75526
2.1877	1.411	1.7543
2.1878	1.41118	1.75333
2.1879	1.41135	1.75236
2.188	1.41153	1.75139
2.1881	1.4117	1.75042
2.1882	1.41188	1.74945
2.1883	1.41205	1.74848
2.1884	1.41223	1.74752
2.1885	1.4124	1.74655
2.1886	1.41258	1.74558
2.1887	1.41275	1.74461
2.1888	1.41293	1.74364
2.1889	1.4131	1.74267
2.189	1.41328	1.7417
2.1891	1.41345	1.74073
2.1892	1.41362	1.73977
2.1893	1.4138	1.7388
2.1894	1.41397	1.73783
2.1895	1.41415	1.73686
2.1896	1.41432	1.73589
2.1897	1.41449	1.73492
2.1898	1.41467	1.73395
2.1899	1.41484	1.73298
2.19	1.41501	1.73201
2.1901	1.41519	1.73104
2.1902	1.41536	1.73008
2.1903	1.41553	1.72911
2.1904	1.4157	1.72814
2.1905	1.41588	1.72717
2.1906	1.41605	1.7262
2.1907	1.41622	1.72523
2.1908	1.41639	1.72426
2.1909	1.41657	1.72329
2.191	1.41674	1.72232
2.1911	1.41691	1.72135
2.1912	1.41708	1.72038
2.1913	1.41726	1.71941
2.1914	1.41743	1.71844
2.1915	1.4176	1.71747
2.1916	1.41777	1.7165
2.1917	1.41794	1.71553
2.1918	1.41811	1.71456
2.1919	1.41828	1.7136
2.192	1.41846	1.71263
2.1921	1.41863	1.71166
2.1922	1.4188	1.71069
2.1923	1.41897	1.70972
2.1924	1.41914	1.70875
2.1925	1.41931	1.70778
2.1926	1.41948	1.70681
2.1927	1.41965	1.70584
2.1928	1.41982	1.70487
2.1929	1.41999	1.7039
2.193	1.42016	1.70293
2.1931	1.42033	1.70196
2.1932	1.4205	1.70099
2.1933	1.42067	1.70002
2.1934	1.42084	1.69905
2.1935	1.42101	1.69808
2.1936	1.42118	1.69711
2.1937	1.42135	1.69614
2.1938	1.42152	1.69517
2.1939	1.42169	1.6942
2.194	1.42186	1.69323
2.1941	1.42203	1.69226
2.1942	1.4222	1.69129
2.1943	1.42237	1.69032
2.1944	1.42254	1.68935
2.1945	1.42271	1.68838
2.1946	1.42287	1.68741
2.1947	1.42304	1.68644
2.1948	1.42321	1.68547
2.1949	1.42338	1.6845
2.195	1.42355	1.68352
2.1951	1.42372	1.68255
2.1952	1.42389	1.68158
2.1953	1.42405	1.68061
2.1954	1.42422	1.67964
2.1955	1.42439	1.67867
2.1956	1.42456	1.6777
2.1957	1.42472	1.67673
2.1958	1.42489	1.67576
2.1959	1.42506	1.67479
2.196	1.42523	1.67382
2.1961	1.42539	1.67285
2.1962	1.42556	1.67188
2.1963	1.42573	1.67091
2.1964	1.4259	1.66994
2.1965	1.42606	1.66897
2.1966	1.42623	1.668
2.1967	1.4264	1.66702
2.1968	1.42656	1.66605
2.1969	1.42673	1.66508
2.197	1.4269	1.66411
2.1971	1.42706	1.66314
2.1972	1.42723	1.66217
2.1973	1.42739	1.6612
2.1974	1.42756	1.66023
2.1975	1.42773	1.65926
2.1976	1.42789	1.65829
2.1977	1.42806	1.65732
2.1978	1.42822	1.65634
2.1979	1.42839	1.65537
2.198	1.42855	1.6544
2.1981	1.42872	1.65343
2.1982	1.42888	1.65246
2.1983	1.42905	1.65149
2.1984	1.42922	1.65052
2.1985	1.42938	1.64955
2.1986	1.42954	1.64858
2.1987	1.42971	1.6476
2.1988	1.42987	1.64663
2.1989	1.43004	1.64566
2.199	1.4302	1.64469
2.1991	1.43037	1.64372
2.1992	1.43053	1.64275
2.1993	1.4307	1.64178
2.1994	1.43086	1.6408
2.1995	1.43102	1.63983
2.1996	1.43119	1.63886
2.1997	1.43135	1.63789
2.1998	1.43152	1.63692
2.1999	1.43168	1.63595
2.2	1.43184	1.63498
2.2001	1.43201	1.634
2.2002	1.43217	1.63303
2.2003	1.43233	1.63206
2.2004	1.4325	1.63109
2.2005	1.43266	1.63012
2.2006	1.43282	1.62915
2.2007	1.43298	1.62817
2.2008	1.43315	1.6272
2.2009	1.43331	1.62623
2.201	1.43347	1.62526
2.2011	1.43363	1.62429
2.2012	1.4338	1.62332
2.2013	1.43396	1.62234
2.2014	1.43412	1.62137
2.2015	1.43428	1.6204
2.2016	1.43445	1.61943
2.2017	1.43461	1.61846
2.2018	1.43477	1.61748
2.2019	1.43493	1.61651
2.202	1.43509	1.61554
2.2021	1.43525	1.61457
2.2022	1.43542	1.6136
2.2023	1.43558	1.61262
2.2024	1.43574	1.61165
2.2025	1.4359	1.61068
2.2026	1.43606	1.60971
2.2027	1.43622	1.60874
2.2028	1.43638	1.60776
2.2029	1.43654	1.60679
2.203	1.4367	1.60582
2.2031	1.43686	1.60485
2.2032	1.43702	1.60387
2.2033	1.43718	1.6029
2.2034	1.43734	1.60193
2.2035	1.4375	1.60096
2.2036	1.43766	1.59999
2.2037	1.43782	1.59901
2.2038	1.43798	1.59804
2.2039	1.43814	1.59707
2.204	1.4383	1.5961
2.2041	1.43846	1.59512
2.2042	1.43862	1.59415
2.2043	1.43878	1.59318
2.2044	1.43894	1.59221
2.2045	1.4391	1.59123
2.2046	1.43926	1.59026
2.2047	1.43942	1.58929
2.2048	1.43958	1.58832
2.2049	1.43974	1.58734
2.205	1.43989	1.58637
2.2051	1.44005	1.5854
2.2052	1.44021	1.58443
2.2053	1.44037	1.58345
2.2054	1.44053	1.58248
2.2055	1.44069	1.58151
2.2056	1.44084	1.58053
2.2057	1.441	1.57956
2.2058	1.44116	1.57859
2.2059	1.44132	1.57762
2.206	1.44147	1.57664
2.2061	1.44163	1.57567
2.2062	1.44179	1.5747
2.2063	1.44195	1.57372
2.2064	1.4421	1.57275
2.2065	1.44226	1.57178
2.2066	1.44242	1.57081
2.2067	1.44258	1.56983
2.2068	1.44273	1.56886
2.2069	1.44289	1.56789
2.207	1.44305	1.56691
2.2071	1.4432	1.56594
2.2072	1.44336	1.56497
2.2073	1.44352	1.564
2.2074	1.44367	1.56302
2.2075	1.44383	1.56205
2.2076	1.44398	1.56108
2.2077	1.44414	1.5601
2.2078	1.4443	1.55913
2.2079	1.44445	1.55816
2.208	1.44461	1.55718
2.2081	1.44476	1.55621
2.2082	1.44492	1.55524
2.2083	1.44507	1.55426
2.2084	1.44523	1.55329
2.2085	1.44538	1.55232
2.2086	1.44554	1.55134
2.2087	1.44569	1.55037
2.2088	1.44585	1.5494
2.2089	1.446	1.54842
2.209	1.44616	1.54745
2.2091	1.44631	1.54648
2.2092	1.44647	1.5455
2.2093	1.44662	1.54453
2.2094	1.44678	1.54356
2.2095	1.44693	1.54258
2.2096	1.44709	1.54161
2.2097	1.44724	1.54064
2.2098	1.44739	1.53966
2.2099	1.44755	1.53869
2.21	1.4477	1.53772
2.2101	1.44786	1.53674
2.2102	1.44801	1.53577
2.2103	1.44816	1.53479
2.2104	1.44832	1.53382
2.2105	1.44847	1.53285
2.2106	1.44862	1.53187
2.2107	1.44878	1.5309
2.2108	1.44893	1.52993
2.2109	1.44908	1.52895
2.211	1.44923	1.52798
2.2111	1.44939	1.527
2.2112	1.44954	1.52603
2.2113	1.44969	1.52506
2.2114	1.44984	1.52408
2.2115	1.45	1.52311
2.2116	1.45015	1.52214
2.2117	1.4503	1.52116
2.2118	1.45045	1.52019
2.2119	1.4506	1.51921
2.212	1.45076	1.51824
2.2121	1.45091	1.51727
2.2122	1.45106	1.51629
2.2123	1.45121	1.51532
2.2124	1.45136	1.51434
2.2125	1.45151	1.51337
2.2126	1.45167	1.5124
2.2127	1.45182	1.51142
2.2128	1.45197	1.51045
2.2129	1.45212	1.50947
2.213	1.45227	1.5085
2.2131	1.45242	1.50753
2.2132	1.45257	1.50655
2.2133	1.45272	1.50558
2.2134	1.45287	1.5046
2.2135	1.45302	1.50363
2.2136	1.45317	1.50265
2.2137	1.45332	1.50168
2.2138	1.45347	1.50071
2.2139	1.45362	1.49973
2.214	1.45377	1.49876
2.2141	1.45392	1.49778
2.2142	1.45407	1.49681
2.2143	1.45422	1.49583
2.2144	1.45437	1.49486
2.2145	1.45452	1.49389
2.2146	1.45467	1.49291
2.2147	1.45482	1.49194
2.2148	1.45497	1.49096
2.2149	1.45512	1.48999
2.215	1.45527	1.48901
2.2151	1.45541	1.48804
2.2152	1.45556	1.48706
2.2153	1.45571	1.48609
2.2154	1.45586	1.48512
2.2155	1.45601	1.48414
2.2156	1.45616	1.48317
2.2157	1.45631	1.48219
2.2158	1.45645	1.48122
2.2159	1.4566	1.48024
2.216	1.45675	1.47927
2.2161	1.4569	1.47829
2.2162	1.45705	1.47732
2.2163	1.45719	1.47634
2.2164	1.45734	1.47537
2.2165	1.45749	1.47439
2.2166	1.45764	1.47342
2.2167	1.45778	1.47245
2.2168	1.45793	1.47147
2.2169	1.45808	1.4705
2.217	1.45822	1.46952
2.2171	1.45837	1.46855
2.2172	1.45852	1.46757
2.2173	1.45866	1.4666
2.2174	1.45881	1.46562
2.2175	1.45896	1.46465
2.2176	1.4591	1.46367
2.2177	1.45925	1.4627
2.2178	1.4594	1.46172
2.2179	1.45954	1.46075
2.218	1.45969	1.45977
2.2181	1.45983	1.4588
2.2182	1.45998	1.45782
2.2183	1.46012	1.45685
2.2184	1.46027	1.45587
2.2185	1.46042	1.4549
2.2186	1.46056	1.45392
2.2187	1.46071	1.45295
2.2188	1.46085	1.45197
2.2189	1.461	1.451
2.219	1.46114	1.45002
2.2191	1.46129	1.44905
2.2192	1.46143	1.44807
2.2193	1.46158	1.4471
2.2194	1.46172	1.44612
2.2195	1.46187	1.44515
2.2196	1.46201	1.44417
2.2197	1.46215	1.4432
2.2198	1.4623	1.44222
2.2199	1.46244	1.44124
2.22	1.46259	1.44027
2.2201	1.46273	1.43929
2.2202	1.46287	1.43832
2.2203	1.46302	1.43734
2.2204	1.46316	1.43637
2.2205	1.46331	1.43539
2.2206	1.46345	1.43442
2.2207	1.46359	1.43344
2.2208	1.46374	1.43247
2.2209	1.46388	1.43149
2.221	1.46402	1.43052
2.2211	1.46416	1.42954
2.2212	1.46431	1.42857
2.2213	1.46445	1.42759
2.2214	1.46459	1.42661
2.2215	1.46474	1.42564
2.2216	1.46488	1.42466
2.2217	1.46502	1.42369
2.2218	1.46516	1.42271
2.2219	1.4653	1.42174
2.222	1.46545	1.42076
2.2221	1.46559	1.41979
2.2222	1.46573	1.41881
2.2223	1.46587	1.41783
2.2224	1.46601	1.41686
2.2225	1.46616	1.41588
2.2226	1.4663	1.41491
2.2227	1.46644	1.41393
2.2228	1.46658	1.41296
2.2229	1.46672	1.41198
2.223	1.46686	1.411
2.2231	1.467	1.41003
2.2232	1.46714	1.40905
2.2233	1.46728	1.40808
2.2234	1.46743	1.4071
2.2235	1.46757	1.40613
2.2236	1.46771	1.40515
2.2237	1.46785	1.40417
2.2238	1.46799	1.4032
2.2239	1.46813	1.40222
2.224	1.46827	1.40125
2.2241	1.46841	1.40027
2.2242	1.46855	1.3993
2.2243	1.46869	1.39832
2.2244	1.46883	1.39734
2.2245	1.46897	1.39637
2.2246	1.46911	1.39539
2.2247	1.46925	1.39442
2.2248	1.46939	1.39344
2.2249	1.46952	1.39246
2.225	1.46966	1.39149
2.2251	1.4698	1.39051
2.2252	1.46994	1.38954
2.2253	1.47008	1.38856
2.2254	1.47022	1.38758
2.2255	1.47036	1.38661
2.2256	1.4705	1.38563
2.2257	1.47063	1.38466
2.2258	1.47077	1.38368
2.2259	1.47091	1.3827
2.226	1.47105	1.38173
2.2261	1.47119	1.38075
2.2262	1.47133	1.37977
2.2263	1.47146	1.3788
2.2264	1.4716	1.37782
2.2265	1.47174	1.37685
2.2266	1.47188	1.37587
2.2267	1.47201	1.37489
2.2268	1.47215	1.37392
2.2269	1.47229	1.37294
2.227	1.47243	1.37197
2.2271	1.47256	1.37099
2.2272	1.4727	1.37001
2.2273	1.47284	1.36904
2.2274	1.47297	1.36806
2.2275	1.47311	1.36708
2.2276	1.47325	1.36611
2.2277	1.47338	1.36513
2.2278	1.47352	1.36415
2.2279	1.47366	1.36318
2.228	1.47379	1.3622
2.2281	1.47393	1.36123
2.2282	1.47406	1.36025
2.2283	1.4742	1.35927
2.2284	1.47434	1.3583
2.2285	1.47447	1.35732
2.2286	1.47461	1.35634
2.2287	1.47474	1.35537
2.2288	1.47488	1.35439
2.2289	1.47501	1.35341
2.229	1.47515	1.35244
2.2291	1.47528	1.35146
2.2292	1.47542	1.35048
2.2293	1.47555	1.34951
2.2294	1.47569	1.34853
2.2295	1.47582	1.34755
2.2296	1.47596	1.34658
2.2297	1.47609	1.3456
2.2298	1.47623	1.34462
2.2299	1.47636	1.34365
2.23	1.4765	1.34267
2.2301	1.47663	1.34169
2.2302	1.47676	1.34072
2.2303	1.4769	1.33974
2.2304	1.47703	1.33876
2.2305	1.47717	1.33779
2.2306	1.4773	1.33681
2.2307	1.47743	1.33583
2.2308	1.47757	1.33486
2.2309	1.4777	1.33388
2.231	1.47783	1.3329
2.2311	1.47797	1.33193
2.2312	1.4781	1.33095
2.2313	1.47823	1.32997
2.2314	1.47837	1.329
2.2315	1.4785	1.32802
2.2316	1.47863	1.32704
2.2317	1.47876	1.32607
2.2318	1.4789	1.32509
2.2319	1.47903	1.32411
2.232	1.47916	1.32314
2.2321	1.47929	1.32216
2.2322	1.47943	1.32118
2.2323	1.47956	1.32021
2.2324	1.47969	1.31923
2.2325	1.47982	1.31825
2.2326	1.47995	1.31727
2.2327	1.48008	1.3163
2.2328	1.48022	1.31532
2.2329	1.48035	1.31434
2.233	1.48048	1.31337
2.2331	1.48061	1.31239
2.2332	1.48074	1.31141
2.2333	1.48087	1.31044
2.2334	1.481	1.30946
2.2335	1.48113	1.30848
2.2336	1.48127	1.3075
2.2337	1.4814	1.30653
2.2338	1.48153	1.30555
2.2339	1.48166	1.30457
2.234	1.48179	1.3036
2.2341	1.48192	1.30262
2.2342	1.48205	1.30164
2.2343	1.48218	1.30066
2.2344	1.48231	1.29969
2.2345	1.48244	1.29871
2.2346	1.48257	1.29773
2.2347	1.4827	1.29676
2.2348	1.48283	1.29578
2.2349	1.48296	1.2948
2.235	1.48309	1.29382
2.2351	1.48321	1.29285
2.2352	1.48334	1.29187
2.2353	1.48347	1.29089
2.2354	1.4836	1.28992
2.2355	1.48373	1.28894
2.2356	1.48386	1.28796
2.2357	1.48399	1.28698
2.2358	1.48412	1.28601
2.2359	1.48425	1.28503
2.236	1.48437	1.28405
2.2361	1.4845	1.28307
2.2362	1.48463	1.2821
2.2363	1.48476	1.28112
2.2364	1.48489	1.28014
2.2365	1.48501	1.27916
2.2366	1.48514	1.27819
2.2367	1.48527	1.27721
2.2368	1.4854	1.27623
2.2369	1.48553	1.27525
2.237	1.48565	1.27428
2.2371	1.48578	1.2733
2.2372	1.48591	1.27232
2.2373	1.48603	1.27134
2.2374	1.48616	1.27037
2.2375	1.48629	1.26939
2.2376	1.48642	1.26841
2.2377	1.48654	1.26743
2.2378	1.48667	1.26646
2.2379	1.48679	1.26548
2.238	1.48692	1.2645
2.2381	1.48705	1.26352
2.2382	1.48717	1.26255
2.2383	1.4873	1.26157
2.2384	1.48743	1.26059
2.2385	1.48755	1.25961
2.2386	1.48768	1.25864
2.2387	1.4878	1.25766
2.2388	1.48793	1.25668
2.2389	1.48806	1.2557
2.239	1.48818	1.25473
2.2391	1.48831	1.25375
2.2392	1.48843	1.25277
2.2393	1.48856	1.25179
2.2394	1.48868	1.25082
2.2395	1.48881	1.24984
2.2396	1.48893	1.24886
2.2397	1.48906	1.24788
2.2398	1.48918	1.2469
2.2399	1.48931	1.24593
2.24	1.48943	1.24495
2.2401	1.48955	1.24397
2.2402	1.48968	1.24299
2.2403	1.4898	1.24202
2.2404	1.48993	1.24104
2.2405	1.49005	1.24006
2.2406	1.49017	1.23908
2.2407	1.4903	1.2381
2.2408	1.49042	1.23713
2.2409	1.49055	1.23615
2.241	1.49067	1.23517
2.2411	1.49079	1.23419
2.2412	1.49092	1.23322
2.2413	1.49104	1.23224
2.2414	1.49116	1.23126
2.2415	1.49129	1.23028
2.2416	1.49141	1.2293
2.2417	1.49153	1.22833
2.2418	1.49165	1.22735
2.2419	1.49178	1.22637
2.242	1.4919	1.22539
2.2421	1.49202	1.22441
2.2422	1.49214	1.22344
2.2423	1.49227	1.22246
2.2424	1.49239	1.22148
2.2425	1.49251	1.2205
2.2426	1.49263	1.21952
2.2427	1.49275	1.21855
2.2428	1.49288	1.21757
2.2429	1.493	1.21659
2.243	1.49312	1.21561
2.2431	1.49324	1.21463
2.2432	1.49336	1.21366
2.2433	1.49348	1.21268
2.2434	1.4936	1.2117
2.2435	1.49373	1.21072
2.2436	1.49385	1.20974
2.2437	1.49397	1.20877
2.2438	1.49409	1.20779
2.2439	1.49421	1.20681
2.244	1.49433	1.20583
2.2441	1.49445	1.20485
2.2442	1.49457	1.20387
2.2443	1.49469	1.2029
2.2444	1.49481	1.20192
2.2445	1.49493	1.20094
2.2446	1.49505	1.19996
2.2447	1.49517	1.19898
2.2448	1.49529	1.19801
2.2449	1.49541	1.19703
2.245	1.49553	1.19605
2.2451	1.49565	1.19507
2.2452	1.49577	1.19409
2.2453	1.49589	1.19311
2.2454	1.49601	1.19214
2.2455	1.49613	1.19116
2.2456	1.49625	1.19018
2.2457	1.49636	1.1892
2.2458	1.49648	1.18822
2.2459	1.4966	1.18724
2.246	1.49672	1.18627
2.2461	1.49684	1.18529
2.2462	1.49696	1.18431
2.2463	1.49708	1.18333
2.2464	1.49719	1.18235
2.2465	1.49731	1.18137
2.2466	1.49743	1.1804
2.2467	1.49755	1.17942
2.2468	1.49767	1.17844
2.2469	1.49778	1.17746
2.247	1.4979	1.17648
2.2471	1.49802	1.1755
2.2472	1.49814	1.17453
2.2473	1.49825	1.17355
2.2474	1.49837	1.17257
2.2475	1.49849	1.17159
2.2476	1.49861	1.17061
2.2477	1.49872	1.16963
2.2478	1.49884	1.16866
2.2479	1.49896	1.16768
2.248	1.49907	1.1667
2.2481	1.49919	1.16572
2.2482	1.49931	1.16474
2.2483	1.49942	1.16376
2.2484	1.49954	1.16278
2.2485	1.49965	1.16181
2.2486	1.49977	1.16083
2.2487	1.49989	1.15985
2.2488	1.5	1.15887
2.2489	1.50012	1.15789
2.249	1.50023	1.15691
2.2491	1.50035	1.15593
2.2492	1.50047	1.15496
2.2493	1.50058	1.15398
2.2494	1.5007	1.153
2.2495	1.50081	1.15202
2.2496	1.50093	1.15104
2.2497	1.50104	1.15006
2.2498	1.50116	1.14908
2.2499	1.50127	1.14811
2.25	1.50139	1.14713
2.2501	1.5015	1.14615
2.2502	1.50161	1.14517
2.2503	1.50173	1.14419
2.2504	1.50184	1.14321
2.2505	1.50196	1.14223
2.2506	1.50207	1.14126
2.2507	1.50219	1.14028
2.2508	1.5023	1.1393
2.2509	1.50241	1.13832
2.251	1.50253	1.13734
2.2511	1.50264	1.13636
2.2512	1.50275	1.13538
2.2513	1.50287	1.1344
2.2514	1.50298	1.13343
2.2515	1.50309	1.13245
2.2516	1.50321	1.13147
2.2517	1.50332	1.13049
2.2518	1.50343	1.12951
2.2519	1.50355	1.12853
2.252	1.50366	1.12755
2.2521	1.50377	1.12657
2.2522	1.50388	1.1256
2.2523	1.504	1.12462
2.2524	1.50411	1.12364
2.2525	1.50422	1.12266
2.2526	1.50433	1.12168
2.2527	1.50445	1.1207
2.2528	1.50456	1.11972
2.2529	1.50467	1.11874
2.253	1.50478	1.11776
