t	phi	omega
0.0176	1.56847	-0.172656
0.0177	1.56845	-0.173637
0.0178	1.56844	-0.174618
0.0179	1.56842	-0.175599
0.018	1.5684	-0.17658
0.0181	1.56838	-0.177561
0.0182	1.56837	-0.178542
0.0183	1.56835	-0.179523
0.0184	1.56833	-0.180504
0.0185	1.56831	-0.181485
0.0186	1.56829	-0.182466
0.0187	1.56828	-0.183447
0.0188	1.56826	-0.184428
0.0189	1.56824	-0.185409
0.019	1.56822	-0.18639
0.0191	1.5682	-0.187371
0.0192	1.56818	-0.188352
0.0193	1.56816	-0.189333
0.0194	1.56814	-0.190314
0.0195	1.56813	-0.191295
0.0196	1.56811	-0.192276
0.0197	1.56809	-0.193257
0.0198	1.56807	-0.194238
0.0199	1.56805	-0.195219
0.02	1.56803	-0.1962
0.0201	1.56801	-0.197181
0.0202	1.56799	-0.198162
0.0203	1.56797	-0.199143
0.0204	1.56795	-0.200124
0.0205	1.56793	-0.201105
0.0206	1.56791	-0.202086
0.0207	1.56789	-0.203067
0.0208	1.56787	-0.204048
0.0209	1.56785	-0.205029
0.021	1.56783	-0.20601
0.0211	1.56781	-0.206991
0.0212	1.56779	-0.207972
0.0213	1.56776	-0.208953
0.0214	1.56774	-0.209934
0.0215	1.56772	-0.210915
0.0216	1.5677	-0.211896
0.0217	1.56768	-0.212877
0.0218	1.56766	-0.213858
0.0219	1.56764	-0.214839
0.022	1.56762	-0.21582
0.0221	1.56759	-0.216801
0.0222	1.56757	-0.217782
0.0223	1.56755	-0.218763
0.0224	1.56753	-0.219744
0.0225	1.56751	-0.220725
0.0226	1.56748	-0.221706
0.0227	1.56746	-0.222687
0.0228	1.56744	-0.223668
0.0229	1.56742	-0.224649
0.023	1.56739	-0.22563
0.0231	1.56737	-0.226611
0.0232	1.56735	-0.227592
0.0233	1.56733	-0.228573
0.0234	1.5673	-0.229554
0.0235	1.56728	-0.230535
0.0236	1.56726	-0.231516
0.0237	1.56723	-0.232497
0.0238	1.56721	-0.233478
0.0239	1.56719	-0.234459
0.024	1.56716	-0.23544
0.0241	1.56714	-0.236421
0.0242	1.56712	-0.237402
0.0243	1.56709	-0.238383
0.0244	1.56707	-0.239364
0.0245	1.56704	-0.240345
0.0246	1.56702	-0.241326
0.0247	1.567	-0.242307
0.0248	1.56697	-0.243287
0.0249	1.56695	-0.244268
0.025	1.56692	-0.245249
0.0251	1.5669	-0.24623
0.0252	1.56687	-0.247211
0.0253	1.56685	-0.248192
0.0254	1.56682	-0.249173
0.0255	1.5668	-0.250154
0.0256	1.56677	-0.251135
0.0257	1.56675	-0.252116
0.0258	1.56672	-0.253097
0.0259	1.5667	-0.254078
0.026	1.56667	-0.255059
0.0261	1.56665	-0.25604
0.0262	1.56662	-0.257021
0.0263	1.56659	-0.258002
0.0264	1.56657	-0.258983
0.0265	1.56654	-0.259964
0.0266	1.56652	-0.260945
0.0267	1.56649	-0.261926
0.0268	1.56646	-0.262907
0.0269	1.56644	-0.263888
0.027	1.56641	-0.264869
0.0271	1.56638	-0.26585
0.0272	1.56636	-0.266831
0.0273	1.56633	-0.267812
0.0274	1.5663	-0.268793
0.0275	1.56628	-0.269774
0.0276	1.56625	-0.270755
0.0277	1.56622	-0.271736
0.0278	1.5662	-0.272717
0.0279	1.56617	-0.273698
0.028	1.56614	-0.274679
0.0281	1.56611	-0.27566
0.0282	1.56609	-0.276641
0.0283	1.56606	-0.277622
0.0284	1.56603	-0.278603
0.0285	1.566	-0.279584
0.0286	1.56597	-0.280565
0.0287	1.56595	-0.281546
0.0288	1.56592	-0.282527
0.0289	1.56589	-0.283508
0.029	1.56586	-0.284489
0.0291	1.56583	-0.28547
0.0292	1.5658	-0.286451
0.0293	1.56577	-0.287432
0.0294	1.56575	-0.288413
0.0295	1.56572	-0.289394
0.0296	1.56569	-0.290375
0.0297	1.56566	-0.291356
0.0298	1.56563	-0.292337
0.0299	1.5656	-0.293318
0.03	1.56557	-0.294299
0.0301	1.56554	-0.29528
0.0302	1.56551	-0.296261
0.0303	1.56548	-0.297242
0.0304	1.56545	-0.298223
0.0305	1.56542	-0.299204
0.0306	1.56539	-0.300185
0.0307	1.56536	-0.301166
0.0308	1.56533	-0.302147
0.0309	1.5653	-0.303128
0.031	1.56527	-0.304109
0.0311	1.56524	-0.30509
0.0312	1.56521	-0.306071
0.0313	1.56518	-0.307052
0.0314	1.56515	-0.308033
0.0315	1.56512	-0.309014
0.0316	1.56509	-0.309995
0.0317	1.56506	-0.310976
0.0318	1.56502	-0.311957
0.0319	1.56499	-0.312938
0.032	1.56496	-0.313919
0.0321	1.56493	-0.3149
0.0322	1.5649	-0.315881
0.0323	1.56487	-0.316862
0.0324	1.56484	-0.317843
0.0325	1.5648	-0.318824
0.0326	1.56477	-0.319805
0.0327	1.56474	-0.320786
0.0328	1.56471	-0.321767
0.0329	1.56467	-0.322748
0.033	1.56464	-0.323728
0.0331	1.56461	-0.324709
0.0332	1.56458	-0.32569
0.0333	1.56454	-0.326671
0.0334	1.56451	-0.327652
0.0335	1.56448	-0.328633
0.0336	1.56445	-0.329614
0.0337	1.56441	-0.330595
0.0338	1.56438	-0.331576
0.0339	1.56435	-0.332557
0.034	1.56431	-0.333538
0.0341	1.56428	-0.334519
0.0342	1.56425	-0.3355
0.0343	1.56421	-0.336481
0.0344	1.56418	-0.337462
0.0345	1.56414	-0.338443
0.0346	1.56411	-0.339424
0.0347	1.56408	-0.340405
0.0348	1.56404	-0.341386
0.0349	1.56401	-0.342367
0.035	1.56397	-0.343348
0.0351	1.56394	-0.344329
0.0352	1.56391	-0.34531
0.0353	1.56387	-0.346291
0.0354	1.56384	-0.347272
0.0355	1.5638	-0.348253
0.0356	1.56377	-0.349234
0.0357	1.56373	-0.350215
0.0358	1.5637	-0.351196
0.0359	1.56366	-0.352177
0.036	1.56363	-0.353158
0.0361	1.56359	-0.354139
0.0362	1.56355	-0.35512
0.0363	1.56352	-0.356101
0.0364	1.56348	-0.357082
0.0365	1.56345	-0.358063
0.0366	1.56341	-0.359044
0.0367	1.56338	-0.360025
0.0368	1.56334	-0.361006
0.0369	1.5633	-0.361987
0.037	1.56327	-0.362968
0.0371	1.56323	-0.363949
0.0372	1.56319	-0.36493
0.0373	1.56316	-0.36591
0.0374	1.56312	-0.366891
0.0375	1.56308	-0.367872
0.0376	1.56305	-0.368853
0.0377	1.56301	-0.369834
0.0378	1.56297	-0.370815
0.0379	1.56294	-0.371796
0.038	1.5629	-0.372777
0.0381	1.56286	-0.373758
0.0382	1.56282	-0.374739
0.0383	1.56279	-0.37572
0.0384	1.56275	-0.376701
0.0385	1.56271	-0.377682
0.0386	1.56267	-0.378663
0.0387	1.56263	-0.379644
0.0388	1.5626	-0.380625
0.0389	1.56256	-0.381606
0.039	1.56252	-0.382587
0.0391	1.56248	-0.383568
0.0392	1.56244	-0.384549
0.0393	1.56241	-0.38553
0.0394	1.56237	-0.386511
0.0395	1.56233	-0.387492
0.0396	1.56229	-0.388473
0.0397	1.56225	-0.389454
0.0398	1.56221	-0.390435
0.0399	1.56217	-0.391416
0.04	1.56213	-0.392397
0.0401	1.56209	-0.393378
0.0402	1.56205	-0.394359
0.0403	1.56201	-0.395339
0.0404	1.56197	-0.39632
0.0405	1.56193	-0.397301
0.0406	1.56189	-0.398282
0.0407	1.56185	-0.399263
0.0408	1.56181	-0.400244
0.0409	1.56177	-0.401225
0.041	1.56173	-0.402206
0.0411	1.56169	-0.403187
0.0412	1.56165	-0.404168
0.0413	1.56161	-0.405149
0.0414	1.56157	-0.40613
0.0415	1.56153	-0.407111
0.0416	1.56149	-0.408092
0.0417	1.56145	-0.409073
0.0418	1.56141	-0.410054
0.0419	1.56137	-0.411035
0.042	1.56133	-0.412016
0.0421	1.56129	-0.412997
0.0422	1.56124	-0.413978
0.0423	1.5612	-0.414959
0.0424	1.56116	-0.41594
0.0425	1.56112	-0.416921
0.0426	1.56108	-0.417902
0.0427	1.56104	-0.418882
0.0428	1.56099	-0.419863
0.0429	1.56095	-0.420844
0.043	1.56091	-0.421825
0.0431	1.56087	-0.422806
0.0432	1.56082	-0.423787
0.0433	1.56078	-0.424768
0.0434	1.56074	-0.425749
0.0435	1.5607	-0.42673
0.0436	1.56065	-0.427711
0.0437	1.56061	-0.428692
0.0438	1.56057	-0.429673
0.0439	1.56053	-0.430654
0.044	1.56048	-0.431635
0.0441	1.56044	-0.432616
0.0442	1.5604	-0.433597
0.0443	1.56035	-0.434578
0.0444	1.56031	-0.435559
0.0445	1.56027	-0.43654
0.0446	1.56022	-0.437521
0.0447	1.56018	-0.438501
0.0448	1.56013	-0.439482
0.0449	1.56009	-0.440463
0.045	1.56005	-0.441444
0.0451	1.56	-0.442425
0.0452	1.55996	-0.443406
0.0453	1.55991	-0.444387
0.0454	1.55987	-0.445368
0.0455	1.55982	-0.446349
0.0456	1.55978	-0.44733
0.0457	1.55973	-0.448311
0.0458	1.55969	-0.449292
0.0459	1.55964	-0.450273
0.046	1.5596	-0.451254
0.0461	1.55955	-0.452235
0.0462	1.55951	-0.453216
0.0463	1.55946	-0.454197
0.0464	1.55942	-0.455177
0.0465	1.55937	-0.456158
0.0466	1.55933	-0.457139
0.0467	1.55928	-0.45812
0.0468	1.55923	-0.459101
0.0469	1.55919	-0.460082
0.047	1.55914	-0.461063
0.0471	1.5591	-0.462044
0.0472	1.55905	-0.463025
0.0473	1.559	-0.464006
0.0474	1.55896	-0.464987
0.0475	1.55891	-0.465968
0.0476	1.55886	-0.466949
0.0477	1.55882	-0.46793
0.0478	1.55877	-0.46891
0.0479	1.55872	-0.469891
0.048	1.55868	-0.470872
0.0481	1.55863	-0.471853
0.0482	1.55858	-0.472834
0.0483	1.55853	-0.473815
0.0484	1.55849	-0.474796
0.0485	1.55844	-0.475777
0.0486	1.55839	-0.476758
0.0487	1.55834	-0.477739
0.0488	1.5583	-0.47872
0.0489	1.55825	-0.479701
0.049	1.5582	-0.480682
0.0491	1.55815	-0.481663
0.0492	1.5581	-0.482643
0.0493	1.55805	-0.483624
0.0494	1.55801	-0.484605
0.0495	1.55796	-0.485586
0.0496	1.55791	-0.486567
0.0497	1.55786	-0.487548
0.0498	1.55781	-0.488529
0.0499	1.55776	-0.48951
0.05	1.55771	-0.490491
0.0501	1.55766	-0.491472
0.0502	1.55761	-0.492453
0.0503	1.55757	-0.493434
0.0504	1.55752	-0.494414
0.0505	1.55747	-0.495395
0.0506	1.55742	-0.496376
0.0507	1.55737	-0.497357
0.0508	1.55732	-0.498338
0.0509	1.55727	-0.499319
0.051	1.55722	-0.5003
0.0511	1.55717	-0.501281
0.0512	1.55712	-0.502262
0.0513	1.55707	-0.503243
0.0514	1.55702	-0.504224
0.0515	1.55697	-0.505204
0.0516	1.55691	-0.506185
0.0517	1.55686	-0.507166
0.0518	1.55681	-0.508147
0.0519	1.55676	-0.509128
0.052	1.55671	-0.510109
0.0521	1.55666	-0.51109
0.0522	1.55661	-0.512071
0.0523	1.55656	-0.513052
0.0524	1.55651	-0.514033
0.0525	1.55645	-0.515013
0.0526	1.5564	-0.515994
0.0527	1.55635	-0.516975
0.0528	1.5563	-0.517956
0.0529	1.55625	-0.518937
0.053	1.5562	-0.519918
0.0531	1.55614	-0.520899
0.0532	1.55609	-0.52188
0.0533	1.55604	-0.522861
0.0534	1.55599	-0.523842
0.0535	1.55593	-0.524822
0.0536	1.55588	-0.525803
0.0537	1.55583	-0.526784
0.0538	1.55578	-0.527765
0.0539	1.55572	-0.528746
0.054	1.55567	-0.529727
0.0541	1.55562	-0.530708
0.0542	1.55556	-0.531689
0.0543	1.55551	-0.53267
0.0544	1.55546	-0.53365
0.0545	1.5554	-0.534631
0.0546	1.55535	-0.535612
0.0547	1.5553	-0.536593
0.0548	1.55524	-0.537574
0.0549	1.55519	-0.538555
0.055	1.55514	-0.539536
0.0551	1.55508	-0.540517
0.0552	1.55503	-0.541497
0.0553	1.55497	-0.542478
0.0554	1.55492	-0.543459
0.0555	1.55486	-0.54444
0.0556	1.55481	-0.545421
0.0557	1.55476	-0.546402
0.0558	1.5547	-0.547383
0.0559	1.55465	-0.548364
0.056	1.55459	-0.549344
0.0561	1.55454	-0.550325
0.0562	1.55448	-0.551306
0.0563	1.55443	-0.552287
0.0564	1.55437	-0.553268
0.0565	1.55431	-0.554249
0.0566	1.55426	-0.55523
0.0567	1.5542	-0.556211
0.0568	1.55415	-0.557191
0.0569	1.55409	-0.558172
0.057	1.55404	-0.559153
0.0571	1.55398	-0.560134
0.0572	1.55392	-0.561115
0.0573	1.55387	-0.562096
0.0574	1.55381	-0.563077
0.0575	1.55375	-0.564057
0.0576	1.5537	-0.565038
0.0577	1.55364	-0.566019
0.0578	1.55359	-0.567
0.0579	1.55353	-0.567981
0.058	1.55347	-0.568962
0.0581	1.55341	-0.569943
0.0582	1.55336	-0.570923
0.0583	1.5533	-0.571904
0.0584	1.55324	-0.572885
0.0585	1.55319	-0.573866
0.0586	1.55313	-0.574847
0.0587	1.55307	-0.575828
0.0588	1.55301	-0.576808
0.0589	1.55295	-0.577789
0.059	1.5529	-0.57877
0.0591	1.55284	-0.579751
0.0592	1.55278	-0.580732
0.0593	1.55272	-0.581713
0.0594	1.55266	-0.582694
0.0595	1.55261	-0.583674
0.0596	1.55255	-0.584655
0.0597	1.55249	-0.585636
0.0598	1.55243	-0.586617
0.0599	1.55237	-0.587598
0.06	1.55231	-0.588579
0.0601	1.55225	-0.589559
0.0602	1.55219	-0.59054
0.0603	1.55214	-0.591521
0.0604	1.55208	-0.592502
0.0605	1.55202	-0.593483
0.0606	1.55196	-0.594464
0.0607	1.5519	-0.595444
0.0608	1.55184	-0.596425
0.0609	1.55178	-0.597406
0.061	1.55172	-0.598387
0.0611	1.55166	-0.599368
0.0612	1.5516	-0.600348
0.0613	1.55154	-0.601329
0.0614	1.55148	-0.60231
0.0615	1.55142	-0.603291
0.0616	1.55136	-0.604272
0.0617	1.5513	-0.605253
0.0618	1.55124	-0.606233
0.0619	1.55118	-0.607214
0.062	1.55112	-0.608195
0.0621	1.55105	-0.609176
0.0622	1.55099	-0.610157
0.0623	1.55093	-0.611137
0.0624	1.55087	-0.612118
0.0625	1.55081	-0.613099
0.0626	1.55075	-0.61408
